"room","type","floor"
"R-101","Deluxe","1"
"R-102","Normal","1"
"R-103","Normal","1"
"R-111","Deluxe","1"
"R-112","Normal","1"
"R-113","Normal","1"
"R-121","Deluxe","1"
"R-122","Normal","1"
"R-123","Normal","1"
"R-131","Deluxe","1"
"R-132","Normal","1"
"R-133","Normal","1"
"R-201","Deluxe","2"
"R-202","Normal","2"
"R-203","Normal","2"
"R-211","Deluxe","2"
"R-212","Normal","2"
"R-213","Normal","2"
"R-221","Deluxe","2"
"R-222","Normal","2"
"R-223","Normal","2"
"R-231","Deluxe","2"
"R-232","Normal","2"
"R-233","Normal","2"
